# default outputs settings
id;value;name;description
qgis.lidlayer.field.cat;CAT;Category;Category of the LID (1 = reservoir, 2 = soil)
qgis.lidlayer.field.vol;VOL;Volume;Maximum reservoir volume (m^3)
qgis.lidlayer.field.height;HEIGHT;Height;Maximum height of the reservoir (m)
qgis.lidlayer.field.diam_out;DIAM_OUT;Outlet conduit diameter;Diameter of the outlet conduit (m)
qgis.lidlayer.field.height_out;HEIGHT_OUT;Outlet conduit heigth;Elevation respect to the bottom of the reservoir (m)
qgis.lidlayer.field.depth;DEPTH;Soil depth;Depth of the soil layer (m)
qgis.lidlayer.field.ks_soil;KS_SOIL;Hydraulic conductivity;Hydraulic conductivity of the soil layer at saturation (m/s)
qgis.lidlayer.field.teta_sat;TETA_SAT;Humidity at saturation;Soil water content per unit area at saturation (m)
qgis.lidlayer.field.teta_fc;TETA_FC;Humidity at field capacity;Soil water content per unit area at field capacity (m)
qgis.lidlayer.field.teta_wp;TETA_WP;Humidity at wilting point;Soil water content per unit area at wilting point (m)
qgis.lidlayer.field.slope;SLOPE;Slope;Topographic slope (m/m)
qgis.lidlayer.field.wp_max;WP_MAX;Interception;Interception (m)
qgis.lidlayer.field.ks_sub;KS_SUB;Hydraulic conductivity;Hydraulic conductivity of the sub layer at saturation (m/s)
qgis.lidlayer.field.msg;MSG;Message;Field name message to the user
qgis.table.soilsparameters;;Soils parameters;Path to table that contains soils parameters
qgis.table.landusesparameters;;Landuses parameters;Path to table that contains landuses parameters
qgis.table.nofmanning;;Manning n;Path to table that contains Manning's coefficients
qgis.table.sectionshapes;;Section shapes;Path to table that contains section shapes lookup table
qgis.table.lidtypes;;LID types;Path to table that contains LID types
qgis.table.lidsoiltypes;;LID soil types;Path to table that contains soil layers characteristics
qgis.table.lidvegtypes;;LID vegetation types;Path to table that contains vegetation characteristics
qgis.table.lidsubtypes;;LID sublayer types;Path to table that contains sublayer characteristics
qgis.table.defaultdbstructure;;DB structure;database structure
qgis.table.defaultconstants;;Physical constant;Path to table that contains physical constant values
qgis.table.defaulthydraulicparameters;;Hydraulic parameters;Path to table that hydraulic parameter values
qgis.table.defaulthydrologicalparameters;;Hydrological constant;Path to table that contains hydrological parameter values
qgis.table.defaultprojectmetadata;;Project metadata;Path to table that contains project metadata
qgis.table.defaultsimulationparameters;;Simulation settings;Path to table that contains simulation settings
qgis.table.precipitations;;Precipitations;Path to table that contains precipitation series
qgis.table.results;;Results;Path to table that contains results series
### end ###
